p_I1,p_I2,ph1,ph2,method,n,bias,var,se,z,sig
1.0,0.2,0.5,0.5,GMM estimator,300,0.005916830149789637,0.04339157536551359,0.012026578256167129,0.49197951601533346,False
1.0,0.2,0.5,0.5,Simple g-estimator,300,0.008083512655680587,0.04449232843273653,0.012178167409033885,0.6637708601118554,False
1.0,0.2,0.5,0.5,Three-step estimator,300,0.008083512655354634,0.04449232843274188,0.012178167409034617,0.6637708600850502,False
1.0,0.2,0.5,0.8,GMM estimator,300,-0.020514987784170702,0.0699519750546344,0.015270011466338676,-1.3434821466502556,False
1.0,0.2,0.5,0.8,Simple g-estimator,300,-0.02147331473847103,0.07726048472091007,0.016047895471671673,-1.3380766827885004,False
1.0,0.2,0.5,0.8,Three-step estimator,300,-0.021473314739357086,0.07726048471970393,0.01604789547154641,-1.3380766828541582,False
1.0,0.2,0.8,0.2,GMM estimator,300,0.01048640556314707,0.055798556024082076,0.013638005233425461,0.7689105102735906,False
1.0,0.2,0.8,0.2,Simple g-estimator,300,0.02147444429692263,0.05771298147650206,0.013869989362709459,1.5482668180451773,False
1.0,0.2,0.8,0.2,Three-step estimator,300,0.021474444269569837,0.05771298149279172,0.013869989364666881,1.5482668158545914,False
1.0,0.2,0.8,0.5,GMM estimator,300,-0.004040617522443538,0.038164096015291034,0.011278903022204927,-0.3582456125820676,False
1.0,0.2,0.8,0.5,Simple g-estimator,300,-0.003059773529759166,0.039955042412084835,0.011540514490565376,-0.26513319941330155,False
1.0,0.2,0.8,0.5,Three-step estimator,300,-0.003059773528245792,0.039955042409076956,0.011540514490130984,-0.26513319929214557,False
1.0,0.2,0.8,0.8,GMM estimator,300,-0.016413936516504773,0.0653505884109148,0.014759244381168345,-1.1121122526738352,False
1.0,0.2,0.8,0.8,Simple g-estimator,300,-0.0183288557777952,0.052021992301842505,0.013168395536516274,-1.3918822324989288,False
1.0,0.2,0.8,0.8,Three-step estimator,300,-0.018328855781951505,0.0520219922806941,0.01316839553383961,-1.3918822330974758,False
1.0,1.0,0.2,0.2,GMM estimator,300,-0.0055828999751616985,0.015293336995907403,0.00713987324721931,-0.781932645279944,False
1.0,1.0,0.2,0.2,Simple g-estimator,300,-0.0004900937509580941,0.01491671343376752,0.007051409654286042,-0.06950294692639246,False
1.0,1.0,0.2,0.2,Three-step estimator,300,-0.0004900937492770905,0.014916713433223863,0.007051409654157544,-0.06950294668926645,False
1.0,1.0,0.2,0.5,GMM estimator,300,-0.0016982383491538815,0.011342277317531556,0.006148787771458576,-0.2761907569873787,False
1.0,1.0,0.2,0.5,Simple g-estimator,300,-0.00141056051823918,0.011836818189237201,0.006281405943798782,-0.2245612735205776,False
1.0,1.0,0.2,0.5,Three-step estimator,300,-0.001410560518111244,0.011836818189484143,0.006281405943864304,-0.22456127349786772,False
1.0,1.0,0.2,0.8,GMM estimator,300,0.0008204705211307973,0.017352499556741712,0.007605370812073468,0.10788040996348353,False
1.0,1.0,0.2,0.8,Simple g-estimator,300,0.0005837313984314349,0.016960359777802084,0.007518944912198361,0.07763474865794244,False
1.0,1.0,0.2,0.8,Three-step estimator,300,0.0005837313985638383,0.0169603597774098,0.007518944912111407,0.07763474867644957,False
