n,p_I1,p_I2,ph1,ph2,bias_threestep_psi03,var_threestep_psi03,bias_gest_psi03,var_gest_psi03,bias_gmm_psi03,var_gmm_psi03,bias_threestep_psi13,var_threestep_psi13,bias_gest_psi13,var_gest_psi13,bias_gmm_psi13,var_gmm_psi13
6000,1.0,0.2,0.8,0.5,0.007757779972041872,0.1590750163839099,-0.0009846824661553426,0.14696266028210325,-0.06342148601255279,0.13887792523455755,-0.010616070269024067,0.1302966829996311,-0.01665014965701848,0.125724597473009,-0.06067363218562076,0.13011772502187346
6000,1.0,0.2,0.8,0.8,-0.01118773957600101,0.09495918808227731,-0.019616193566263408,0.08377579545465322,-0.05277172803252131,0.08328203844977033,-0.00402476904212881,0.06475101705171944,0.0047578023183370635,0.061670957923565396,-0.02081665350381376,0.06324993492595
6000,1.0,1.0,0.2,0.2,0.04633222338573624,12.579110907224447,0.10196424866978651,3.303835189593976,-0.2868374222674073,18472013.086251155,-0.02262386362495141,0.4071135411444682,0.014864164186936604,0.3069768629463031,-0.034299489182677306,0.2996930841342452
6000,1.0,1.0,0.2,0.5,0.04499486439351559,1.2302849550196338,0.039886154549817227,0.45819637121290197,-0.04639384649985513,0.539335878279366,0.002349638536508815,0.1281174639784464,-0.01039331563007826,0.10236292338865335,-0.029261037616283334,0.0953878984869199
6000,1.0,1.0,0.2,0.8,-0.05958183679882876,0.6435969656756731,-0.04283472849925743,0.312709544916905,-0.08871245503242442,0.3134806232195499,-0.005898246771217621,0.07278406111242731,-0.012296637698207132,0.06285943084810877,-0.032238162904480214,0.06131301086040501
6000,1.0,1.0,0.5,0.2,-0.0037728885298258354,0.9465789540938822,-0.027562790289183684,0.39651894048142566,-0.1662510930558925,0.4407032682269773,-0.02757224057595868,0.22795464218194417,-0.025483245224756583,0.18278361510421978,-0.10039517223656219,0.17129027280999407
6000,1.0,1.0,0.5,0.5,-0.02533242513454894,0.2800474813314816,-0.002735645421852952,0.13900809287469698,-0.07290821233916048,0.13108111905007827,-0.010182018688911498,0.06180463603623862,-0.00988159206152836,0.05954584256380841,-0.035201488168986536,0.060275042187376525
6000,1.0,1.0,0.5,0.8,-0.034608675432761644,0.14301603448780734,-0.001884989870154399,0.0963048013137283,-0.04862716569453085,0.0994641448734352,-0.0028039186040958682,0.04373014190325169,-0.005156650410469118,0.043205750779245516,-0.02457102968629646,0.04517287041281201
6000,1.0,1.0,0.8,0.2,0.05395201361599826,0.5405983221775129,0.04047692860934313,0.2652363218123096,-0.05243941299813617,0.2603678375914384,0.013715938971104943,0.4055423682851786,0.03991141558888942,0.21441934181622824,-0.022085361930005237,0.20782700688952566
6000,1.0,1.0,0.8,0.5,0.009631373052469798,0.15979075824621847,0.000465431815000853,0.11280242311254692,-0.04043023199250162,0.10355844822963282,-0.009831794418219728,0.13040218219733574,0.010289065287598839,0.0937452046600166,-0.01712147875113628,0.08450298313499292
6000,1.0,1.0,0.8,0.8,-0.00931539995209236,0.09445114187747536,-0.0024871090634878716,0.07238970532625698,-0.03028218084809208,0.07178143066206887,-0.004343521950796166,0.06479921268393705,0.01064895415892528,0.061039758509923325,-0.008371296407853807,0.05877310842438385
12000,0.2,0.2,0.2,0.2,-0.04359507567264174,1.5784955564351615,0.04622320028322382,1.443908112091457,-0.42763338712863075,40491.797968330095,0.0039546675167552656,0.7801693295753133,-0.02027755769766072,0.6926378099437244,-0.1490068018606007,0.7278565642601172
12000,0.2,0.2,0.2,0.5,-0.050917901020491506,0.34013241622089685,-0.0029075829443071075,0.34668806243576894,-0.1450641580521862,0.311280337306103,0.017468785515306697,0.30287290343392376,0.007278208246813001,0.26967472262280234,-0.03461595572392927,0.2697588234214292
12000,0.2,0.2,0.2,0.8,-0.04508166081161951,0.2041005717863914,-0.005063220060372464,0.15854207749828148,-0.08256816424226687,0.16902519866407595,0.02529342414987214,0.14744697326379708,0.05512259310516932,0.1306077383031007,0.0064226623897075605,0.1340551914915466
12000,0.2,0.2,0.5,0.2,0.02677819223667738,0.3829970581202398,0.011653158768361089,0.32010580498857155,-0.15223915356412313,0.35104493507191464,0.03500581765194496,0.5909497692707748,-0.045312213813589866,0.509959113191013,-0.1614206765170667,0.5292034616501424
12000,0.2,0.2,0.5,0.5,-0.016720416950821285,0.11756142591393114,-0.016165901642298593,0.09912125958363859,-0.05502861457716922,0.09099200006888226,-0.018748578927129077,0.20619048950163443,-0.024333999337117752,0.1770971813229119,-0.07110991542619921,0.17031255797690936
12000,0.2,0.2,0.5,0.8,-0.012484017723580671,0.05284891367195968,-0.016679073064768523,0.05087223376413552,-0.036446850189424534,0.054228094582100754,-0.03187647875296213,0.08609158953707877,-0.032687053271332006,0.0860674648923461,-0.044588195655751305,0.08222867612303343
12000,0.2,0.2,0.8,0.2,0.007805541787212506,0.22449336437208767,-0.00882254264171751,0.17070158570364927,-0.05750505894793721,0.17934055328825677,0.029113104933447452,0.8520388281738994,0.050522517583471496,0.6620694493387186,-0.13732884611241664,0.8432271179323931
12000,0.2,0.2,0.8,0.5,0.02572906757369641,0.059667591297680435,0.005149329412324903,0.05541272317298653,-0.0227833156304218,0.05710121817226876,-0.021878781264523344,0.26394840549094006,-0.04441776099465618,0.24485995476510858,-0.13338135482872637,0.24937451985152911
12000,0.2,0.2,0.8,0.8,-0.02577062326985706,0.031513831830877,-0.015993887622920117,0.028033953420770665,-0.03232951761439855,0.027910359811723875,-0.04768993492481091,0.1364040208399108,-0.0593112694534009,0.12443875422682811,-0.07077404110912949,0.1279600288189358
12000,0.2,1.0,0.2,0.2,-0.05978866594394283,1.5596995728925265,0.038600776052247064,0.7071745123336228,-0.11761494536822886,0.6727430702117957,0.003019915878215401,0.7805652879155885,0.0032288696247094626,0.31036886107307354,-0.06980587103609821,0.3292484292617801
12000,0.2,1.0,0.2,0.5,-0.05390596710569358,0.33795658700296377,-0.029615674583679835,0.21310944670546253,-0.09045507137046184,0.1879458421560402,0.01814735260464926,0.30300705877403916,-0.005151533986256159,0.14552446722443568,-0.055583012098572505,0.1467485012032695
12000,0.2,1.0,0.2,0.8,-0.0439842347007124,0.20574500376776272,-0.032520028658973965,0.15102363732903015,-0.08885586284506683,0.14942132307437356,0.025577785700119857,0.14750362136744152,0.011587540604276414,0.10641155140886446,-0.02213994376444587,0.11264085522220776
12000,0.2,1.0,0.5,0.2,0.03512680522128021,0.38402663053970393,0.001939357042060332,0.17316674052180886,-0.05047469938051715,0.20256448807708835,0.034364322959978405,0.5914468025107018,0.009724533264631489,0.25244654485166285,-0.05239222512983478,0.23630600169423643
12000,0.2,1.0,0.5,0.5,-0.015142227946981886,0.11555471767143509,-0.009908821690995679,0.07120650179017236,-0.05483405523854317,0.06292976844752347,-0.018270188143688817,0.2061033519150605,-0.005787608958656867,0.1091891227384601,-0.05023803467855743,0.11296729568103127
12000,0.2,1.0,0.5,0.8,-0.012104299626502977,0.05313585176783062,-0.011099134536123413,0.04748271701945192,-0.04036450454496646,0.05067842420118062,-0.032383114885269564,0.08615706375744293,-0.025921490849309357,0.0744119388870273,-0.061614243526932004,0.0750012999739752
12000,0.2,1.0,0.8,0.2,0.0072015340737792335,0.22503669549270638,-0.006770891343909498,0.11068920460485678,-0.04841486734439483,0.10590457117858851,0.027089559142656525,0.8531236741105194,-0.036617057905364805,0.19798833251841866,-0.07985351749590881,0.21806848227698888
