id,est_psi03,est_psi13,est_psi23,method,p_I1,p_I2,ph1,ph2,seed,psi03,psi13,psi23,gamma13,gamma23
65,0.6911236858470442,1.0526545040432147,1.262083174179234,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
66,0.9710645965122454,1.527037300999606,0.9506297716775813,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
67,1.0638565588768794,0.8672348727115117,0.9406827774255855,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
68,0.8844931421362429,1.556153209312243,0.868470785312371,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
69,0.9878791770573825,0.9347238305527437,1.0579487084073178,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
70,0.9666422873686025,1.1144320907271232,1.1114284916188237,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
71,0.6059930752531468,1.0740659701534285,0.9903684318776677,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
72,1.0509122180443229,0.7518929084612596,0.5208591646470293,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
73,0.8208102478646448,1.6357726359833544,0.8437011525536622,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
74,0.6380963436073167,1.311561560547216,1.1776941946416448,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
75,1.0517784934754644,1.3625195756128914,1.1772863094555561,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
76,0.9693561350169162,1.3343505219731366,1.2450771974694002,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
77,0.7114034033949428,1.70749102587958,0.6812015331048131,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
78,0.6992026023326992,1.176271822700319,0.8059211392158461,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
79,1.0172703271580046,1.081842553564099,1.5247551459427728,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
80,1.075343649478886,1.1135183878466257,0.6713753600823124,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
81,0.7056787095956171,1.1292689765571544,1.0133878211871494,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
82,1.0984378718550671,1.3753120815738822,1.2802300426638296,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
83,1.0289088766516616,1.233906663691088,0.7758087596419201,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
84,0.7832083481766049,1.0059404181911786,0.8356497468620062,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
85,0.7277925534056976,1.1409851165533904,0.5906259774195463,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
86,0.8972195002609851,1.0725936369853608,0.7860628836312444,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
87,0.9118616151080194,0.8561775711795552,1.2019039240459006,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
88,1.2232788612278136,1.5120137510573217,1.1874212028848654,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
89,0.8959201356633174,1.1411301648637373,1.108718080232788,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
90,1.068682194902784,0.8373668724534759,1.059771227790056,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
91,1.08433091098881,1.2808841118048484,1.1585706252570065,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
92,0.4205755225503653,1.1251265729610949,0.6103548608905054,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
93,1.1582225590493964,1.4276903017813192,0.9279835455140371,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
94,0.8562730210250893,1.1078086675092464,1.144849601223135,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
95,0.894314810114187,1.3160341703837963,1.1399668082801777,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
96,0.9815215944181186,0.9329592413922264,0.8000227398372075,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
97,0.8344342320525755,1.038684591028374,1.0382034432568519,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
98,1.2675059272011335,1.9398266505570645,0.9930966269292394,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
99,0.7211515008288878,1.14669754991768,1.434721498323711,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
100,1.0364560606179816,1.619249329488339,1.1972171833780199,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
101,0.8021394960526254,0.7156701909093404,1.1414630248962083,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
102,1.230751743172469,1.0027969434691768,0.7117520856939785,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
